Unnamed: 0,city,actual_latitude,alt_latitude,initial_answer,gt_answer,logprob_a,logprob_b,logits_a,logits_b,confidence_a,confidence_b,predicted_label,initial_binary_correctness,other_llm_answer,other_llm_answer_type,second_answer,change_of_mind,second_turn_predicted_label,second_turn_binary_correctness,second_turn_confidence_a,second_turn_confidence_b,final_answer,final_logprob_a,final_logprob_b,final_logits_a,final_logits_b,other_llm_accuracy,initial_answer_display
2893,Edemissen,52.4,26.2,a,a,-0.0155029296875,-5.875,28.625,22.75,0.85573417,0.14426579,0,1,a,Same,a,0,0,1,0.97525907,0.024740983,a,0.0,-12.125,37.0,24.875,50,shown
2894,Taki,34.5,17.2,a,b,-0.2109375,-2.46875,27.0,24.75,0.66414434,0.33585566,0,0,a,Same,a,0,0,0,0.96555483,0.03444519,a,0.0,-11.0,36.75,25.75,50,shown
2895,Balabanovo,55.2,82.8,b,b,-8.625,-0.007781982421875,21.25,29.875,0.06826597,0.93173397,1,1,b,Same,b,0,1,1,0.015847212,0.98415273,b,-13.625,0.0,23.375,37.0,50,shown
2896,Hangu,39.2,19.6,a,a,-0.0751953125,-3.828125,27.125,23.375,0.75701135,0.24298865,0,1,a,Same,a,0,0,1,0.9723638,0.027636133,a,0.0,-11.75,37.0,25.25,50,shown
2897,Doctor Phillips,28.4,42.7,b,b,-7.5,-0.007781982421875,22.375,29.875,0.093407035,0.906593,1,1,b,Same,b,0,1,1,0.019088542,0.9809115,b,-13.0,0.0,23.5,36.5,50,shown
2898,Higashiōmi,35.1,17.6,b,b,-8.75,-0.007781982421875,20.875,29.625,0.06589567,0.9341043,1,1,b,Same,b,0,1,1,0.015847204,0.98415273,b,-13.625,0.0,23.125,36.75,50,shown
2899,Pilkhua,28.7,14.4,b,b,-5.53125,-0.03076171875,23.5,29.0,0.15886906,0.8411309,1,1,b,Same,b,0,1,1,0.029746424,0.9702536,b,-11.5,0.0,24.5,36.0,50,shown
2900,Rambouillet,48.6,73.0,b,b,-9.375,-0.007781982421875,21.0,30.375,0.055153172,0.9448468,1,1,b,Same,b,0,1,1,0.0152671635,0.9847328,b,-13.75,0.0,22.5,36.25,50,shown
2901,Irukanni,11.8,17.6,a,a,-0.32421875,-2.078125,26.625,24.875,0.6295538,0.37044623,0,1,a,Same,a,0,0,1,0.9629444,0.037055604,a,0.0,-10.75,37.75,27.0,50,shown
2902,Lichtervelde,51.0,76.5,a,a,-0.023193359375,-8.25,29.25,21.0,0.9241418,0.07585821,0,1,a,Same,a,0,0,1,0.9816079,0.018392058,a,0.0,-13.125,37.25,24.125,50,shown
2903,Al ‘Azīzīyah,32.5,48.8,a,a,-0.08984375,-4.34375,26.625,22.375,0.78378797,0.21621202,0,1,a,Same,a,0,0,1,0.9733637,0.026636256,a,0.0,-11.875,37.0,25.125,50,shown
2904,Sandanski,41.6,20.8,a,a,-0.0155029296875,-6.125,28.125,22.0,0.8648371,0.13516289,0,1,a,Same,a,0,0,1,0.9847328,0.015267155,a,0.0,-13.75,38.25,24.5,50,shown
2905,Garín,-34.4,-51.6,b,b,-2.375,-0.1318359375,28.0,30.25,0.33585545,0.6641446,1,1,b,Same,b,0,1,1,0.051335804,0.94866425,b,-9.625,0.0,26.125,35.75,50,shown
2906,Pansol,14.7,7.3,a,a,-0.11767578125,-2.75,25.875,23.25,0.68900126,0.31099868,0,1,a,Same,a,0,0,1,0.9786632,0.02133672,a,0.0,-12.625,37.25,24.625,50,shown
2907,Mabitac,14.4,21.6,a,a,-0.08984375,-4.09375,26.625,22.625,0.7706741,0.2293259,0,1,a,Same,a,0,0,1,0.9786632,0.02133673,a,0.0,-12.625,38.25,25.625,50,shown
2908,Pauri,30.2,15.1,a,a,-0.0966796875,-3.21875,27.0,23.875,0.7205053,0.2794947,0,1,a,Same,a,0,0,1,0.9702536,0.029746424,a,0.0,-11.5,37.0,25.5,50,shown
2909,Guntūr,16.3,8.2,a,a,-0.0458984375,-3.921875,27.125,23.25,0.76391107,0.236089,0,1,a,Same,a,0,0,1,0.9816079,0.018392058,a,0.0,-13.125,37.75,24.625,50,shown
2910,Razlog,41.9,62.8,a,a,-0.03076171875,-7.03125,28.625,21.625,0.8929478,0.1070522,0,1,a,Same,a,0,0,1,0.9816079,0.018392058,a,0.0,-13.125,37.25,24.125,50,shown
2911,Yongcong,26.0,13.0,<,b,-inf,-inf,-inf,-inf,,,-1,-1,<,Same,b,1,1,1,0.21621202,0.78378797,b,-4.25,-0.0155029296875,35.25,39.5,50,shown
2912,Auburn Hills,42.7,64.0,a,a,-0.0155029296875,-8.0,29.0,21.0,0.9186573,0.08134266,0,1,a,Same,a,0,0,1,0.98415273,0.015847204,a,0.0,-13.625,37.75,24.125,50,shown
2913,Ribeirão,-8.5,-4.3,a,a,-2.25,-0.1318359375,29.375,31.5,0.34435645,0.6556436,0,1,a,Same,a,0,0,1,0.9702536,0.02974644,a,0.0,-11.5,37.5,26.0,50,shown
2914,Coatesville,40.0,60.0,b,b,-7.375,-0.007781982421875,21.125,28.5,0.09666439,0.9033356,1,1,b,Same,b,0,1,1,0.018392058,0.9816079,b,-13.125,0.0,22.375,35.5,50,shown
2915,Ottaikkālmantapam,10.9,5.4,b,a,-0.1982421875,-1.9453125,27.25,25.5,0.6295539,0.37044612,1,0,b,Same,b,0,1,0,0.051335778,0.94866425,b,-9.625,0.0,27.125,36.75,50,shown
2916,Saint-Michel de l’Atalaye,19.4,9.7,b,a,-2.828125,-0.0751953125,25.875,28.625,0.3029408,0.6970592,1,0,b,Same,b,0,1,0,0.034445204,0.96555483,b,-11.0,0.0,24.75,35.75,50,shown
2917,Summerside,46.4,23.2,b,b,-6.75,-0.007781982421875,22.625,29.375,0.11451249,0.88548756,1,1,b,Same,b,0,1,1,0.017720548,0.98227954,b,-13.25,0.0,22.5,35.75,50,shown
2918,Édessa,40.8,20.4,b,b,-7.25,-0.007781982421875,21.25,28.5,0.10002291,0.8999771,1,1,b,Same,b,0,1,1,0.02055995,0.97944003,b,-12.75,0.0,23.0,35.75,50,shown
2919,Gladbeck,51.6,77.4,a,a,-0.03076171875,-6.65625,29.0,22.375,0.88159025,0.1184098,0,1,a,Same,a,0,0,1,0.9801892,0.019810855,a,0.0,-12.875,38.0,25.125,50,shown
2920,Shelton,47.2,23.6,<,a,-inf,-inf,-inf,-inf,,,-1,-1,<,Same,a,1,0,1,0.86483705,0.13516295,a,0.0,-6.125,33.5,27.375,50,shown
2921,Sant Joan de Vilatorrada,41.8,62.6,a,a,-0.0155029296875,-6.625,28.75,22.125,0.8815902,0.11840984,0,1,a,Same,a,0,0,1,0.98355114,0.016448934,a,0.0,-13.5,37.75,24.25,50,shown
2922,Mangalkot,23.5,11.8,b,b,-0.6328125,-1.0078125,29.125,28.75,0.5283787,0.4716213,1,1,b,Same,b,0,1,1,0.042857975,0.957142,b,-10.25,0.0,26.0,36.25,50,shown
2923,Chinna Kalaiyamputtūr,10.5,15.7,a,b,-0.248046875,-1.75,28.125,26.625,0.6117193,0.38828072,0,0,a,Same,a,0,0,0,0.97132754,0.028672436,a,0.0,-11.625,37.75,26.125,50,shown
2924,Frutillar,-41.1,-61.7,b,b,-7.125,-0.007781982421875,21.5,28.625,0.1034848,0.89651525,1,1,b,Same,b,0,1,1,0.025671601,0.9743284,b,-12.0,0.0,24.25,36.25,50,shown
2925,Derinkuyu,38.4,57.6,b,b,-8.25,-0.007781982421875,21.625,29.875,0.07585821,0.9241418,1,1,b,Same,b,0,1,1,0.016448934,0.98355114,b,-13.5,0.0,23.5,37.0,50,shown
2926,Saidpur Dabra,25.3,12.7,a,a,-0.08251953125,-4.09375,27.25,23.25,0.7706741,0.2293259,0,1,a,Same,a,0,0,1,0.9691406,0.03085936,a,0.0,-11.375,37.5,26.125,50,shown
2927,Puerto Leguízamo,-0.2,-0.1,b,a,-4.28125,-0.023193359375,24.375,28.625,0.21621212,0.7837879,1,0,b,Same,b,0,1,0,0.034445204,0.96555483,b,-11.0,0.0,24.75,35.75,50,shown
2928,Humacao,18.2,27.2,a,b,-0.060546875,-3.8125,26.875,23.125,0.75701123,0.24298872,0,0,a,Same,a,0,0,0,0.9761568,0.023843275,a,0.0,-12.25,35.75,23.5,50,shown
2929,El Piñón,10.3,15.5,b,b,-4.65625,-0.03076171875,22.75,27.375,0.19757573,0.80242425,1,1,b,Same,b,0,1,1,0.035727475,0.96427256,b,-10.875,0.0,24.875,35.75,50,shown
2930,Tsararafa,-22.7,-34.1,C,a,-inf,-inf,-inf,-inf,,,-1,-1,C,Same,a,1,0,1,0.8083608,0.19163921,a,-0.0155029296875,-4.75,34.75,30.0,50,shown
2931,Hosakote,14.3,7.1,a,b,-0.1845703125,-2.5625,26.875,24.5,0.67254025,0.32745984,0,0,a,Same,a,0,0,0,0.97525907,0.024740973,a,0.0,-12.125,37.25,25.125,50,shown
2932,Paombong,14.8,7.4,a,b,-0.11767578125,-3.25,26.75,23.625,0.7205054,0.2794946,0,0,a,Same,a,0,0,0,0.97785777,0.022142211,a,0.0,-12.5,37.5,25.0,50,shown
2933,Tranoroa,-24.7,-12.3,a,a,-0.12451171875,-3.5,27.25,23.875,0.7355035,0.26449648,0,1,a,Same,a,0,0,1,0.97785777,0.0221422,a,0.0,-12.5,36.75,24.25,50,shown
2934,Vittoriosa,35.9,17.9,b,b,-7.0,-0.007781982421875,21.125,28.125,0.10705215,0.8929478,1,1,b,Same,b,0,1,1,0.022142211,0.97785777,b,-12.5,0.0,23.75,36.25,50,shown
2935,Çaldıran,39.1,19.6,a,a,-0.11083984375,-3.984375,26.75,22.875,0.7639111,0.23608892,0,1,a,Same,a,0,0,1,0.97525907,0.024740973,a,0.0,-12.125,36.5,24.375,50,shown
2936,Podili,15.6,23.4,a,a,-0.08251953125,-4.21875,27.25,23.125,0.7772999,0.22270015,0,1,a,Same,a,0,0,1,0.9723638,0.027636118,a,0.0,-11.75,38.0,26.25,50,shown
2937,Norwich,43.0,64.5,a,a,-0.0458984375,-3.421875,32.5,29.125,0.73550344,0.26449656,0,1,a,Same,a,0,0,1,0.96014434,0.039855707,a,0.0,-10.5,37.75,27.25,50,shown
2938,Shuangtian,22.9,34.3,a,b,-1.0,-0.625,28.5,28.875,0.4716215,0.5283784,0,0,a,Same,a,0,0,0,0.96014434,0.039855707,a,0.0,-10.5,37.5,27.0,50,shown
2939,Granbury,32.4,16.2,a,a,-0.038330078125,-5.28125,27.375,22.125,0.830744,0.16925597,0,1,a,Same,a,0,0,1,0.97944003,0.02055995,a,0.0,-12.75,37.0,24.25,50,shown
2940,Berdsk,54.8,27.4,a,a,-0.0155029296875,-6.875,29.625,22.75,0.8892727,0.110727295,0,1,a,Same,a,0,0,1,0.9786632,0.02133672,a,0.0,-12.625,38.0,25.375,50,shown
2941,Montenegro,4.6,6.9,a,a,-0.060546875,-3.3125,27.625,24.375,0.7280692,0.27193078,0,1,a,Same,a,0,0,1,0.96427256,0.035727475,a,0.0,-10.875,37.5,26.625,50,shown
2942,Swāmimalai,11.0,5.5,b,b,-6.875,-0.007781982421875,21.375,28.25,0.110727295,0.8892727,1,1,b,Same,b,0,1,1,0.016448926,0.98355114,b,-13.5,0.0,23.25,36.75,50,shown
2943,Gīlān-e Gharb,34.1,17.1,b,b,-1.625,-0.25390625,27.375,28.75,0.39731485,0.6026852,1,1,b,Same,b,0,1,1,0.03085936,0.9691406,b,-11.375,0.0,25.125,36.5,50,shown
2944,Malumfashi,11.8,5.9,b,a,-3.078125,-0.08251953125,27.125,30.125,0.28718588,0.7128141,1,0,b,Same,b,0,1,0,0.037055604,0.9629444,b,-10.75,0.0,26.0,36.75,50,shown
2945,Pototan,11.0,5.5,b,a,-5.5,-0.0155029296875,22.25,27.75,0.15886906,0.8411309,1,0,b,Same,b,0,1,0,0.028672451,0.97132754,b,-11.625,0.0,24.625,36.25,50,shown
2946,Cranleigh,51.1,25.6,b,b,-9.25,-0.007781982421875,21.25,30.5,0.05716066,0.9428394,1,1,b,Same,b,0,1,1,0.017720548,0.98227954,b,-13.25,0.0,23.0,36.25,50,shown
2947,Pirapòzinho,-22.3,-33.4,b,b,-5.75,-0.0155029296875,22.75,28.5,0.14900525,0.85099477,1,1,b,Same,b,0,1,1,0.03320737,0.9667926,b,-11.125,0.0,24.875,36.0,50,shown
2948,Sovetsk,57.6,28.8,b,b,-6.875,-0.007781982421875,21.875,28.75,0.11072735,0.8892727,1,1,b,Same,b,0,1,1,0.011535111,0.98846483,b,-24.0,-9.25,13.5625,28.25,50,shown
2949,Kottūr,9.9,5.0,b,b,-2.140625,-0.1455078125,26.75,28.75,0.35295847,0.64704144,1,1,b,Same,b,0,1,1,0.041330766,0.95866925,b,-10.375,0.0,25.375,35.75,50,shown
2950,Limoeiro,-7.9,-3.9,a,b,-0.66015625,-0.78515625,28.875,28.75,0.5094686,0.4905314,0,0,a,Same,a,0,0,0,0.97702265,0.02297737,a,0.0,-12.375,37.75,25.375,50,shown
2951,Baryshivka,50.4,75.5,a,a,-0.0155029296875,-8.25,29.75,21.5,0.9241418,0.075858146,0,1,a,Same,a,0,0,1,0.9786632,0.02133673,a,0.0,-12.625,37.75,25.125,50,shown
2952,Florida City,25.4,38.2,b,b,-8.375,-0.007781982421875,22.0,30.375,0.073245056,0.926755,1,1,b,Same,b,0,1,1,0.020559942,0.97944003,b,-12.75,0.0,23.25,36.0,50,shown
2953,Diepenbeek,50.9,76.3,b,b,-8.75,-0.007781982421875,21.625,30.375,0.06589572,0.9341043,1,1,b,Same,b,0,1,1,0.015847204,0.98415273,b,-13.625,0.0,23.625,37.25,50,shown
2954,Colonia del Sacramento,-34.5,-17.2,<,b,-inf,-inf,-inf,-inf,,,-1,-1,<,Same,b,1,1,1,0.19163921,0.8083608,b,-4.75,-0.0155029296875,34.75,39.5,50,shown
2955,Novi Travnik,44.2,22.1,b,b,-8.375,-0.007781982421875,21.0,29.375,0.073245056,0.926755,1,1,b,Same,b,0,1,1,0.02133673,0.9786632,b,-12.625,0.0,22.625,35.25,50,shown
2956,Sultanbeyli,41.0,61.5,a,a,-0.0751953125,-5.8125,26.625,20.875,0.85099477,0.14900525,0,1,a,Same,a,0,0,1,0.97702265,0.02297737,a,0.0,-12.375,37.0,24.625,50,shown
2957,Chitungwiza,-18.0,-9.0,b,a,-4.15625,-0.023193359375,24.875,29.0,0.22270015,0.7772999,1,0,b,Same,b,0,1,0,0.041330766,0.95866925,b,-10.375,0.0,25.875,36.25,50,shown
2958,Bowen,-20.0,-30.0,b,b,-2.9375,-0.06787109375,27.75,30.625,0.29500216,0.7049978,1,1,b,Same,b,0,1,1,0.046075486,0.95392454,b,-10.0,0.0,25.0,35.0,50,shown
2959,Lepe,37.3,55.9,b,b,-5.90625,-0.023193359375,21.5,27.375,0.14426567,0.85573435,1,1,b,Same,b,0,1,1,0.026636243,0.9733637,b,-11.875,0.0,24.125,36.0,50,shown
2960,Kovačica,45.1,22.6,b,b,-7.25,-0.0155029296875,21.75,29.0,0.10002291,0.8999771,1,1,b,Same,b,0,1,1,0.016448926,0.98355114,b,-13.5,0.0,23.25,36.75,50,shown
2961,Rutherford,-32.7,-16.4,b,b,-5.03125,-0.03076171875,23.125,28.125,0.18017668,0.8198234,1,1,b,Same,b,0,1,1,0.029746424,0.9702536,b,-11.5,0.0,24.0,35.5,50,shown
2962,Deuil-la-Barre,49.0,73.5,a,a,-0.0155029296875,-6.875,28.5,21.625,0.8892727,0.110727295,0,1,a,Same,a,0,0,1,0.97132754,0.028672451,a,-11.0,-22.625,28.0,16.375,50,shown
2963,Székesfehérvár,47.2,70.8,b,b,-8.375,-0.007781982421875,20.375,28.75,0.073245056,0.926755,1,1,b,Same,b,0,1,1,0.013148887,0.98685104,b,-14.25,0.0,22.25,36.5,50,shown
2964,Waldenbuch,48.6,73.0,<,b,-inf,-inf,-inf,-inf,,,-1,-1,<,Same,b,1,1,1,0.024740973,0.97525907,b,-12.125,0.0,20.875,33.0,50,shown
2965,Sarangani,5.4,8.1,b,a,-0.55859375,-0.93359375,28.25,27.875,0.5283784,0.4716215,1,0,b,Same,b,0,1,0,0.041330766,0.95866925,b,-10.375,0.0,25.875,36.25,50,shown
2966,Fukayachō,36.2,54.3,b,b,-7.75,-0.007781982421875,21.25,29.0,0.08718627,0.9128138,1,1,b,Same,b,0,1,1,0.018392067,0.9816079,b,-13.125,0.0,22.625,35.75,50,shown
2967,Yıldırım,40.1,60.2,a,a,-0.0155029296875,-6.75,28.75,22.0,0.88548756,0.11451249,0,1,a,Same,a,0,0,1,0.9786632,0.02133672,a,0.0,-12.625,37.25,24.625,50,shown
2968,Pingdeng,26.1,39.1,a,a,-0.1455078125,-2.515625,28.25,25.875,0.67254025,0.3274597,0,1,a,Same,a,0,0,1,0.9667926,0.03320736,a,0.0,-11.125,37.25,26.125,50,shown
2969,São Bernardo,-3.4,-5.0,b,b,-4.625,-0.0155029296875,25.125,29.75,0.19757573,0.80242425,1,1,b,Same,b,0,1,1,0.032012552,0.9679874,b,-11.25,0.0,24.25,35.5,50,shown
2970,Parede,38.7,19.3,a,a,-0.03076171875,-5.28125,27.625,22.375,0.83074397,0.16925605,0,1,a,Same,a,0,0,1,0.97702265,0.02297737,a,0.0,-12.375,37.25,24.875,50,shown
2971,Leon Valley,29.5,44.2,b,b,-8.125,-0.007781982421875,21.875,30.0,0.07855667,0.9214433,1,1,b,Same,b,0,1,1,0.017073112,0.98292696,b,-13.375,0.0,23.625,37.0,50,shown
2972,Ban Tha Kham,9.1,13.7,<,b,-inf,-inf,-inf,-inf,,,-1,-1,<,Same,b,1,1,1,0.18583968,0.81416035,b,-4.875,-0.007781982421875,30.625,35.5,50,shown
2973,Jaén,-5.7,-2.9,b,a,-4.03125,-0.03076171875,26.375,30.375,0.229326,0.77067405,1,0,b,Same,b,0,1,0,0.032012567,0.9679874,b,-11.25,0.0,24.5,35.75,50,shown
2974,Rāmganj Mandi,24.6,37.0,a,a,-0.03076171875,-5.40625,27.25,21.875,0.83600354,0.16399644,0,1,a,Same,a,0,0,1,0.97785777,0.022142189,a,0.0,-12.5,38.0,25.5,50,shown
2975,Armação dos Búzios,-22.7,-11.4,b,b,-5.125,-0.0155029296875,23.375,28.5,0.17464899,0.82535094,1,1,b,Same,b,0,1,1,0.023843285,0.9761568,b,-12.25,0.0,24.0,36.25,50,shown
2976,Gengenbach,48.4,24.2,a,a,-0.023193359375,-5.65625,27.75,22.125,0.8461275,0.15387253,0,1,a,Same,a,0,0,1,0.9786632,0.02133673,a,0.0,-12.625,37.75,25.125,50,shown
2977,Andranomanelatra,-19.8,-29.7,a,a,-0.2109375,-2.46875,28.375,26.125,0.66414446,0.33585554,0,1,a,Same,a,0,0,1,0.9761568,0.023843262,a,0.0,-12.25,37.25,25.0,50,shown
2978,Şidfā,27.0,40.4,b,b,-6.65625,-0.023193359375,21.25,27.875,0.1184098,0.88159025,1,1,b,Same,b,0,1,1,0.024740983,0.97525907,b,-12.125,0.0,24.125,36.25,50,shown
2979,Stezzano,45.6,68.4,a,a,-0.0155029296875,-7.875,29.25,21.375,0.9157815,0.08421848,0,1,a,Same,a,0,0,1,0.97944003,0.02055995,a,0.0,-12.75,37.0,24.25,50,shown
2980,Kumba,4.6,2.3,b,a,-0.466796875,-1.09375,28.375,27.75,0.5472075,0.45279253,1,0,b,Same,b,0,1,0,0.03572744,0.96427256,b,-10.875,0.0,25.875,36.75,50,shown
2981,Carroll,42.1,21.0,a,b,-0.12451171875,-2.5,27.875,25.5,0.67254037,0.3274596,0,0,a,Same,a,0,0,0,0.9448468,0.05515315,a,-9.875,-19.25,28.875,19.5,50,shown
2982,Mogok,22.9,11.5,b,b,-3.5625,-0.06787109375,27.0,30.5,0.25719368,0.7428064,1,1,b,Same,b,0,1,1,0.035727475,0.96427256,b,-10.875,0.0,24.875,35.75,50,shown
2983,Yutiancun,25.9,38.8,b,b,-6.375,-0.0155029296875,22.375,28.75,0.1265495,0.87345046,1,1,b,Same,b,0,1,1,0.025671588,0.9743284,b,-12.0,0.0,23.75,35.75,50,shown
2984,Raunheim,50.0,75.0,b,b,-8.75,-0.007781982421875,21.625,30.375,0.06589572,0.9341043,1,1,b,Same,b,0,1,1,0.014708021,0.9852919,b,-13.875,0.0,23.125,37.0,50,shown
2985,Gjakovë,42.4,63.6,b,b,-8.75,-0.007781982421875,20.375,29.125,0.06589567,0.9341043,1,1,b,Same,b,0,1,1,0.015267149,0.9847328,b,-13.75,0.0,23.0,36.75,50,shown
2986,Narahia,26.4,13.2,a,b,-0.8125,-1.1875,27.0,26.625,0.5283784,0.4716215,0,0,a,Same,a,0,0,0,0.95866925,0.041330766,a,0.0,-10.375,38.75,28.375,50,shown
2987,Branson,36.7,18.3,b,b,-8.75,-0.37890625,20.375,28.75,0.073245056,0.926755,1,1,b,Same,b,0,1,1,0.02297736,0.97702265,b,-12.375,0.0,22.625,35.0,50,shown
2988,Paripiranga,-10.7,-16.0,b,a,-0.57421875,-0.94921875,29.0,28.625,0.5283787,0.4716213,1,0,b,Same,b,0,1,0,0.039855707,0.96014434,b,-10.5,0.0,26.0,36.5,50,shown
2989,Tenambākkam,12.8,19.2,a,a,-0.6171875,-0.9921875,27.625,27.25,0.5283784,0.4716215,0,1,a,Same,a,0,0,1,0.96427256,0.03572744,a,0.0,-10.875,38.0,27.125,50,shown
2990,Sarh,9.2,4.6,a,a,-0.248046875,-1.625,27.5,26.125,0.60268533,0.39731476,0,1,a,Same,a,0,0,1,0.9691406,0.030859347,a,0.0,-11.375,36.75,25.375,50,shown
2991,Ba‘qūbah,33.8,50.6,a,a,-0.05322265625,-6.0625,28.25,22.25,0.8603478,0.13965216,0,1,a,Same,a,0,0,1,0.9809115,0.019088542,a,0.0,-13.0,37.25,24.25,50,shown
2992,Fraser,42.5,63.8,a,a,-0.0751953125,-3.453125,26.75,23.375,0.7355035,0.26449648,0,1,a,Same,a,0,0,1,0.9723638,0.027636118,a,0.0,-11.75,37.25,25.5,50,shown
2993,Monte Chingolo,-34.7,-52.1,b,b,-3.421875,-0.05322265625,26.875,30.25,0.2644964,0.7355036,1,1,b,Same,b,0,1,1,0.03320739,0.9667926,b,-11.125,0.0,25.125,36.25,50,shown
2994,Rāipura,32.8,49.2,b,b,-6.15625,-0.023193359375,22.375,28.5,0.13516283,0.8648371,1,1,b,Same,b,0,1,1,0.026636243,0.9733637,b,-11.875,0.0,24.125,36.0,50,shown
2995,Boscotrecase,40.8,61.2,b,b,-7.875,-0.007781982421875,22.125,30.0,0.08421848,0.9157815,1,1,b,Same,b,0,1,1,0.015267149,0.9847328,b,-13.75,0.0,23.0,36.75,50,shown
2996,Ikom,6.1,9.1,b,a,-3.90625,-0.03076171875,27.125,31.0,0.23608907,0.7639109,1,0,b,Same,b,0,1,0,0.041330744,0.95866925,b,-10.375,0.0,25.125,35.5,50,shown
2997,Haukipudas,65.2,97.8,a,a,-0.007781982421875,-8.5,29.875,21.375,0.92928493,0.07071501,0,1,a,Same,a,0,0,1,0.98415273,0.015847204,a,0.0,-13.625,37.75,24.125,50,shown
2998,Nikel,69.4,104.1,T,b,-inf,-inf,-inf,-inf,,,-1,-1,T,Same,S,1,-1,-1,,,S,-inf,-inf,-inf,-inf,50,shown
2999,Mina,10.9,16.4,b,a,-3.78125,-0.038330078125,25.5,29.25,0.24298865,0.75701135,1,0,b,Same,b,0,1,0,0.029746424,0.9702536,b,-11.5,0.0,24.0,35.5,50,shown
3000,Talhar,24.9,12.4,b,b,-1.9375,-0.3125,27.0,28.625,0.37932274,0.62067735,1,1,b,Same,b,0,1,1,0.042857952,0.957142,b,-10.25,0.0,25.5,35.75,50,shown
3001,Groß-Enzersdorf,48.2,72.3,b,b,-8.75,-0.007781982421875,21.5,30.25,0.06589567,0.9341043,1,1,b,Same,b,0,1,1,0.014169062,0.9858309,b,-14.0,0.0,22.5,36.5,50,shown
3002,Burrillville,42.0,21.0,b,b,-8.0,0.0,21.75,29.75,0.08134264,0.9186574,1,1,b,Same,b,0,1,1,0.014708013,0.9852919,b,-13.875,0.0,22.125,36.0,50,shown
3003,Yāsūj,30.7,46.0,a,a,-0.0458984375,-5.65625,27.5,21.875,0.84612745,0.1538726,0,1,a,Same,a,0,0,1,0.9786632,0.021336742,a,0.0,-12.625,37.5,24.875,50,shown
3004,Ad Dammām,26.4,39.6,b,b,-8.25,-0.007781982421875,21.125,29.375,0.07585818,0.9241418,1,1,b,Same,b,0,1,1,0.019810867,0.9801892,b,-12.875,0.0,22.875,35.75,50,shown
3005,Slavuta,50.3,25.2,b,b,-7.53125,-0.03076171875,21.25,28.75,0.093407035,0.906593,1,1,b,Same,b,0,1,1,0.013148894,0.98685104,b,-24.375,-10.125,13.375,27.625,50,shown
3006,Chinandega,12.6,18.9,a,b,-0.06787109375,-4.0625,27.75,23.75,0.7706741,0.2293259,0,0,a,Same,a,0,0,0,0.97702265,0.02297737,a,0.0,-12.375,38.25,25.875,50,shown
3007,Yuchengcun,23.6,11.8,b,b,-6.375,-0.0155029296875,21.75,28.125,0.1265495,0.87345046,1,1,b,Same,b,0,1,1,0.020559942,0.97944003,b,-12.75,0.0,22.75,35.5,50,shown
3008,Xuanzhou,30.9,15.5,a,a,-0.03076171875,-5.40625,28.0,22.625,0.83600354,0.16399653,0,1,a,Same,a,0,0,1,0.9801892,0.019810867,a,0.0,-12.875,37.5,24.625,50,shown
3009,Mulug,18.2,27.3,a,b,-0.15234375,-3.03125,26.5,23.625,0.7049978,0.29500216,0,0,a,Same,a,0,0,0,0.9629444,0.037055623,a,0.0,-10.75,36.5,25.75,50,shown
3010,Barysh,53.6,26.8,a,a,-0.03076171875,-4.28125,27.375,23.125,0.78378797,0.21621202,0,1,a,Same,a,0,0,1,0.957142,0.042857952,a,-10.25,-20.5,28.25,18.0,50,shown
3011,Nakoushi,26.7,40.0,b,a,-0.12451171875,-3.0,27.0,24.125,0.7049978,0.29500216,1,0,b,Same,b,0,1,0,0.041330744,0.95866925,b,-10.375,0.0,26.125,36.5,50,shown
3012,Fukushima,37.8,56.6,b,b,-7.25,-0.007781982421875,21.75,29.0,0.10002291,0.8999771,1,1,b,Same,b,0,1,1,0.017720548,0.98227954,b,-13.25,0.0,23.0,36.25,50,shown
3013,Mizil,45.0,22.5,a,b,-0.2353515625,-1.859375,29.5,27.875,0.62067735,0.37932274,0,0,a,Same,a,0,0,0,0.96014434,0.039855707,a,0.0,-10.5,37.5,27.0,50,shown
3014,Labin,45.1,22.5,b,b,-8.0,-0.007781982421875,21.25,29.25,0.0813427,0.9186573,1,1,b,Same,b,0,1,1,0.018392077,0.9816079,b,-13.125,0.0,23.125,36.25,50,shown
3015,Bourem Inali,16.7,8.3,b,a,-1.84375,-0.216796875,26.125,27.75,0.37932262,0.6206774,1,0,b,Same,b,0,1,0,0.037055623,0.9629444,b,-10.75,0.0,25.75,36.5,50,shown
3016,Kūttānallūr,10.7,5.4,b,b,-0.95703125,-0.58203125,26.875,27.25,0.4716213,0.5283787,1,1,b,Same,b,0,1,1,0.0384312,0.96156883,b,-10.625,0.0,25.625,36.25,50,shown
3017,Leopoldina,-21.5,-32.3,a,b,-0.171875,-2.171875,28.5,26.5,0.64704174,0.35295826,0,0,a,Same,a,0,0,0,0.97944003,0.02055995,a,0.0,-12.75,37.5,24.75,50,shown
3018,Senador Guiomard,-10.2,-5.1,a,b,-0.05322265625,-4.3125,29.0,24.75,0.78378797,0.21621202,0,0,a,Same,a,0,0,0,0.9816079,0.018392067,a,0.0,-13.125,37.5,24.375,50,shown
3019,Kawthoung,10.0,15.0,a,a,-0.271484375,-1.8984375,26.875,25.25,0.62067735,0.37932274,0,1,a,Same,a,0,0,1,0.9723638,0.027636133,a,0.0,-11.75,37.75,26.0,50,shown
